Source Name,Sample Name,Characteristics: Organism,Factor Value: Strain,Characteristics: sex,Characteristics: Material Type,Protocol REF,Comment: plate,Comment: plate well,Protocol REF,Factor Value: Ionizing Radiation,Factor Value: Particle Charge,Factor Value: HZE,Parameter Value: ionizing radiation energy,Parameter Value: linear energy transfer,Parameter Value: absorbed radiation dose rate,Factor Value: Absorbed Radiation Dose,Factor Value: Time of Sample Collection After Treatment,Parameter Value: average fractionated dose rate,Parameter Value: exposure duration,Parameter Value: ionizing radiation source,Parameter Value: ionizing radiation facility
B6C3M1,B6C3M1_P291_B5_B6C3_MALE_2,Mus musculus,B6C3 Mouse,male,primary cultured fibroblast cell,growth protocol,P291,B5,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
B6C3M2,B6C3M2_P291_B6_B6C3_MALE_2,Mus musculus,B6C3 Mouse,male,primary cultured fibroblast cell,growth protocol,P291,B6,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
B6C3M3,B6C3M3_P291_A5_B6C3_MALE_2,Mus musculus,B6C3 Mouse,male,primary cultured fibroblast cell,growth protocol,P291,A5,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
BALBCF,BALBCF_P288_D1_BALBC_FEMALE_1,Mus musculus,BALB/cByJ,female,primary cultured fibroblast cell,growth protocol,P288,D1,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
BALBCF,BALBCF_P288_H7_BALBC_FEMALE_1,Mus musculus,BALB/cByJ,female,primary cultured fibroblast cell,growth protocol,P288,H7,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
BALBCF1,BALBCF1_P288_C7_BALBC_FEMALE_1,Mus musculus,BALB/cByJ,female,primary cultured fibroblast cell,growth protocol,P288,C7,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
BALBCF,BALBCF_P291_D1_BALBC_FEMALE_2,Mus musculus,BALB/cByJ,female,primary cultured fibroblast cell,growth protocol,P291,D1,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
BALBCF,BALBCF_P291_H7_BALBC_FEMALE_2,Mus musculus,BALB/cByJ,female,primary cultured fibroblast cell,growth protocol,P291,H7,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
BALBCF1,BALBCF1_P291_C7_BALBC_FEMALE_2,Mus musculus,BALB/cByJ,female,primary cultured fibroblast cell,growth protocol,P291,C7,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
BALBCF2,BALBCF2_P291_A7_BALBC_FEMALE_2,Mus musculus,BALB/cByJ,female,primary cultured fibroblast cell,growth protocol,P291,A7,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
BALBCM1,BALBCM1_P288_D7_BALBC_MALE_1,Mus musculus,BALB/cByJ,male,primary cultured fibroblast cell,growth protocol,P288,D7,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
BALBCM1,BALBCM1_P288_E1_BALBC_MALE_1,Mus musculus,BALB/cByJ,male,primary cultured fibroblast cell,growth protocol,P288,E1,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
BALBCM2,BALBCM2_P288_E2_BALBC_MALE_1,Mus musculus,BALB/cByJ,male,primary cultured fibroblast cell,growth protocol,P288,E2,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
BALBCM1,BALBCM1_P291_D7_BALBC_MALE_2,Mus musculus,BALB/cByJ,male,primary cultured fibroblast cell,growth protocol,P291,D7,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
BALBCM1,BALBCM1_P291_E1_BALBC_MALE_2,Mus musculus,BALB/cByJ,male,primary cultured fibroblast cell,growth protocol,P291,E1,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
BALBCM2,BALBCM2_P291_E2_BALBC_MALE_2,Mus musculus,BALB/cByJ,male,primary cultured fibroblast cell,growth protocol,P291,E2,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
C3HF1,C3HF1_P288_G3_C3H_FEMALE_1,Mus musculus,C3H/HeMsNsrf,female,primary cultured fibroblast cell,growth protocol,P288,G3,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
C3HF2,C3HF2_P288_H3_C3H_FEMALE_1,Mus musculus,C3H/HeMsNsrf,female,primary cultured fibroblast cell,growth protocol,P288,H3,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
C3HF3,C3HF3_P288_H4_C3H_FEMALE_1,Mus musculus,C3H/HeMsNsrf,female,primary cultured fibroblast cell,growth protocol,P288,H4,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
C3HF1,C3HF1_P291_G3_C3H_FEMALE_2,Mus musculus,C3H/HeMsNsrf,female,primary cultured fibroblast cell,growth protocol,P291,G3,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
C3HF2,C3HF2_P291_H3_C3H_FEMALE_2,Mus musculus,C3H/HeMsNsrf,female,primary cultured fibroblast cell,growth protocol,P291,H3,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
C3HF3,C3HF3_P291_H4_C3H_FEMALE_2,Mus musculus,C3H/HeMsNsrf,female,primary cultured fibroblast cell,growth protocol,P291,H4,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
C3HM2,C3HM2_P288_E3_C3H_MALE_1,Mus musculus,C3H/HeMsNsrf,male,primary cultured fibroblast cell,growth protocol,P288,E3,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
C3HM3,C3HM3_P288_F3_C3H_MALE_1,Mus musculus,C3H/HeMsNsrf,male,primary cultured fibroblast cell,growth protocol,P288,F3,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
C3HM2,C3HM2_P291_E3_C3H_MALE_2,Mus musculus,C3H/HeMsNsrf,male,primary cultured fibroblast cell,growth protocol,P291,E3,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
C3HM3,C3HM3_P291_F3_C3H_MALE_2,Mus musculus,C3H/HeMsNsrf,male,primary cultured fibroblast cell,growth protocol,P291,F3,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
C57BLF1,C57BLF1_P288_F5_C57_FEMALE_1,Mus musculus,C57BL/6J,female,primary cultured fibroblast cell,growth protocol,P288,F5,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
C57BLF2,C57BLF2_P288_E5_C57_FEMALE_1,Mus musculus,C57BL/6J,female,primary cultured fibroblast cell,growth protocol,P288,E5,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
C57BLF3,C57BLF3_P288_F6_C57_FEMALE_1,Mus musculus,C57BL/6J,female,primary cultured fibroblast cell,growth protocol,P288,F6,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
C57BLF1,C57BLF1_P291_F5_C57_FEMALE_2,Mus musculus,C57BL/6J,female,primary cultured fibroblast cell,growth protocol,P291,F5,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
C57BLF2,C57BLF2_P291_E5_C57_FEMALE_2,Mus musculus,C57BL/6J,female,primary cultured fibroblast cell,growth protocol,P291,E5,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
C57BLF3,C57BLF3_P291_F6_C57_FEMALE_2,Mus musculus,C57BL/6J,female,primary cultured fibroblast cell,growth protocol,P291,F6,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
C57BLM1,C57BLM1_P288_E6_C57_MALE_1,Mus musculus,C57BL/6J,male,primary cultured fibroblast cell,growth protocol,P288,E6,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
C57BLM2,C57BLM2_P288_C6_C57_MALE_1,Mus musculus,C57BL/6J,male,primary cultured fibroblast cell,growth protocol,P288,C6,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
C57BLM3,C57BLM3_P288_D5_C57_MALE_1,Mus musculus,C57BL/6J,male,primary cultured fibroblast cell,growth protocol,P288,D5,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
C57BLM1,C57BLM1_P291_E6_C57_MALE_2,Mus musculus,C57BL/6J,male,primary cultured fibroblast cell,growth protocol,P291,E6,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
C57BLM2,C57BLM2_P291_C6_C57_MALE_2,Mus musculus,C57BL/6J,male,primary cultured fibroblast cell,growth protocol,P291,C6,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
C57BLM3,C57BLM3_P291_D5_C57_MALE_2,Mus musculus,C57BL/6J,male,primary cultured fibroblast cell,growth protocol,P291,D5,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
CBAF1,CBAF1_P288_G2_CBA_FEMALE_1,Mus musculus,CBA/CaJ,female,primary cultured fibroblast cell,growth protocol,P288,G2,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
CBAF2,CBAF2_P288_E4_CBA_FEMALE_1,Mus musculus,CBA/CaJ,female,primary cultured fibroblast cell,growth protocol,P288,E4,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
CBAF3,CBAF3_P288_F4_CBA_FEMALE_1,Mus musculus,CBA/CaJ,female,primary cultured fibroblast cell,growth protocol,P288,F4,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
CBAF1,CBAF1_P291_G2_CBA_FEMALE_2,Mus musculus,CBA/CaJ,female,primary cultured fibroblast cell,growth protocol,P291,G2,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
CBAF2,CBAF2_P291_E4_CBA_FEMALE_2,Mus musculus,CBA/CaJ,female,primary cultured fibroblast cell,growth protocol,P291,E4,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
CBAF3,CBAF3_P291_F4_CBA_FEMALE_2,Mus musculus,CBA/CaJ,female,primary cultured fibroblast cell,growth protocol,P291,F4,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
CBAM1,CBAM1_P288_D3_CBA_MALE_1,Mus musculus,CBA/CaJ,male,primary cultured fibroblast cell,growth protocol,P288,D3,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
CBAM2,CBAM2_P288_D4_CBA_MALE_1,Mus musculus,CBA/CaJ,male,primary cultured fibroblast cell,growth protocol,P288,D4,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
CBAM3,CBAM3_P288_C3_CBA_MALE_1,Mus musculus,CBA/CaJ,male,primary cultured fibroblast cell,growth protocol,P288,C3,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
CBAM1,CBAM1_P291_D3_CBA_MALE_2,Mus musculus,CBA/CaJ,male,primary cultured fibroblast cell,growth protocol,P291,D3,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
CBAM2,CBAM2_P291_D4_CBA_MALE_2,Mus musculus,CBA/CaJ,male,primary cultured fibroblast cell,growth protocol,P291,D4,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
CBAM3,CBAM3_P291_C3_CBA_MALE_2,Mus musculus,CBA/CaJ,male,primary cultured fibroblast cell,growth protocol,P291,C3,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
202CC,202CC_P288_G7_CC002_FEMALE_1,Mus musculus,CC002,female,primary cultured fibroblast cell,growth protocol,P288,G7,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
202CC,202CC_P291_G7_CC002_FEMALE_2,Mus musculus,CC002,female,primary cultured fibroblast cell,growth protocol,P291,G7,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
208CC,208CC_P288_H6_CC002_MALE_1,Mus musculus,CC002,male,primary cultured fibroblast cell,growth protocol,P288,H6,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
247CC,247CC_P288_A3_CC002_MALE_1,Mus musculus,CC002,male,primary cultured fibroblast cell,growth protocol,P288,A3,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
907CC,907CC_P288_C1_CC002_MALE_1,Mus musculus,CC002,male,primary cultured fibroblast cell,growth protocol,P288,C1,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
208CC,208CC_P291_H6_CC002_MALE_2,Mus musculus,CC002,male,primary cultured fibroblast cell,growth protocol,P291,H6,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
247CC,247CC_P291_A3_CC002_MALE_2,Mus musculus,CC002,male,primary cultured fibroblast cell,growth protocol,P291,A3,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
907CC,907CC_P291_C1_CC002_MALE_2,Mus musculus,CC002,male,primary cultured fibroblast cell,growth protocol,P291,C1,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
254CC,254CC_P288_F7_CC011_FEMALE_1,Mus musculus,CC011,female,primary cultured fibroblast cell,growth protocol,P288,F7,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
937CC,937CC_P288_A8_CC011_FEMALE_1,Mus musculus,CC011,female,primary cultured fibroblast cell,growth protocol,P288,A8,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
938CC,938CC_P288_B8_CC011_FEMALE_1,Mus musculus,CC011,female,primary cultured fibroblast cell,growth protocol,P288,B8,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
254CC,254CC_P291_F7_CC011_FEMALE_2,Mus musculus,CC011,female,primary cultured fibroblast cell,growth protocol,P291,F7,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
937CC,937CC_P291_A8_CC011_FEMALE_2,Mus musculus,CC011,female,primary cultured fibroblast cell,growth protocol,P291,A8,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
938CC,938CC_P291_B8_CC011_FEMALE_2,Mus musculus,CC011,female,primary cultured fibroblast cell,growth protocol,P291,B8,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
